time,user,rating,comment,votes
2014-08-05 21:42:59,seabisuit,5,初看时还是租的录像带叫东游记，没看懂就觉得挺神的，随后大约97前不知怎的就火了，同学们台词不离口，电视VCD什么的又看了好多遍，随着不断长大真是每次看都有新发现啊，资料馆修复版画面没有了那中英字幕好干净，其实第一部笑料真是最足，各种神剪辑表演，真可谓这部大笑下部大哭。,6
2015-12-04 08:56:15,拒绝沦为中美国,1,90年代刚看到的时候就觉得是烂片，完全不喜欢这种风格。都不想列入看过的电影列表。最近看了一些披露文化冷战的文章，觉得还是有必要尽自己的一分力，来评一下，区分好坏。无意中看到也有一个人说这是烂片，更坚定了要评1星的信心。,27
2010-09-25 21:03:12,ZeonGin Sou,5,值得一辈子反反复复地看。最后看剩心酸。,13
2017-05-20 15:37:59,途经一个你,5,长夜漫漫，无心睡眠。我以为只有我睡不着。原来晶晶姑娘也睡不着。,17
2014-11-06 23:55:00,十一月的雨,5,星爷的癫狂杰作，结构完整，想像狂野。与第二部看似迥异割裂，实则浑然天成。他的表现理应斩获一座影帝奖杯。结尾出现的朱茵真如同天赐的仙子降于此妖魔人间，自此创造了如此让人爱怜的角色。感谢上苍，把她最好的时光嵌进了永恒的光影之中。若干年后，我们都会老去，但她给我们的触动将永不褪色。,8
2017-02-23 20:31:43,ᥫ᭡້໌,5,你看那个人，像一条狗。。以前看不懂，现在看简直泪目,8
2017-04-13 09:56:19,X,5,无法超越的经典，很多台词都已经成了一代网红，现象级电影,6
2013-02-24 20:18:39,微果儿,5,十八年前，一家人在电视机前，20后到80后，勉强笑笑，硬着头皮看完。周星驰在最好的时候没有遇到好的观众，业外票房惨淡，业内一片差评。几年后，互联网史上第一波病毒传播恰是周的西游，一发不可收拾，“星爷”蹿红。是金子总会发光，付出的总有回报。有一个规律，聪明人常常要担一种风险，想到的、做到的可能因为过于超前而遭遇不理解甚至误解。  蓝洁瑛，那时还美丽，还健康，还在。,4
2007-02-12 11:10:23,xīn,5,资料馆2014.6.10.7pm 每句台词、每个动作都充满设计，每个人的自证预言又构成关于这个故事的大自证预言。上部是刘镇伟+周星驰主导，可每当音乐响起和最后朱茵出场，就走入王家卫的世界。,3
2010-11-10 20:22:05,苗儿,1,我真是一点也不喜欢大话西游系列。可能是我有问题。,24
